Player,Pos,Tm,G,GS,Holding,False Start,Pen,Decl/Offs
Ereck Flowers,LT,NYG,16,16,8,4,13,1
Daryl Smith,LB,TAM,16,12,4,6,13,0
David DeCastro,RG,PIT,16,16,6,6,12,3
Taylor Lewan,LT,TEN,16,16,3,3,12,2
Trent Brown,RT,SFO,16,16,1,6,11,0
Demar Dotson,RT,TAM,13,13,5,3,11,1
Jason Peters,LT,PHI,16,16,1,10,11,2
Mike Remmers,LT,CAR,16,16,5,4,11,4
Greg Robinson,LT,LAR,14,14,6,3,11,4
Vadal Alexander,G,OAK,9,5,4,1,10,0
Kelvin Beachum,LT,JAX,15,15,3,6,10,0
Ja'Wuan James,RT,MIA,16,16,6,2,10,2
Jermey Parnell,RT,JAX,16,16,6,3,10,2
Ryan Schraeder,RT,ATL,16,16,2,6,10,0
Chris Clark,RT,HOU,16,14,7,1,9,8
Eric Fisher,LT,KAN,16,16,4,4,9,2
Jake Matthews,LT,ATL,16,16,6,3,9,1
Russell Okung,LT,DEN,16,16,6,3,9,2
Donald Penn,LT,OAK,16,16,3,3,9,1
Donald Stephenson,RT,DEN,13,12,1,6,9,2
Joe Thuney,LG,NWE,16,16,6,3,9,1
T.J. Clemmings,LT,MIN,15,14,3,3,8,2
George Fant,LT,SEA,14,10,2,4,8,0
Doug Free,RT,DAL,16,16,4,3,8,1
Jason Kelce,C,PHI,16,16,6,2,8,1
Ali Marpet,RG,TAM,16,16,4,3,8,2
Brandon Scherff,RG,WAS,16,16,5,3,8,0
Jeremiah Sirles,RT,MIN,14,10,1,4,8,1
Quinton Spain,LG,TEN,14,13,3,4,8,0
Trai Turner,RG,CAR,16,16,2,3,8,3
Joe Barksdale,RT,SDG,15,15,0,6,7,2
Cameron Erving,C,CLE,13,13,2,3,7,1
Rodney Hudson,C,OAK,16,16,1,6,7,1
Germain Ifedi,RG,SEA,13,13,0,6,7,1
Richie Incognito,LG,BUF,16,16,4,0,7,0
Ted Larsen,RG,CHI,16,8,2,3,7,0
Jordan Mills,RT,BUF,16,16,4,3,7,0
Morgan Moses,RT,WAS,16,16,3,3,7,1
Kelechi Osemele,LG,OAK,15,15,5,2,7,0
Austin Pasztor,RT,CLE,16,16,3,3,7,2
Mitchell Schwartz,RT,KAN,16,16,1,6,7,1
Bradley Sowell,LT,SEA,10,9,3,4,7,1
Ronnie Stanley,LT,BAL,12,12,4,2,7,1
